Youtuber,subscribers,video views,uploads,category,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Unemployment rate,Population,Urban_population,created_year,average_yearly_earnings,average_monthly_earnings
Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,23600000,7920637200.0,1251,Film & Animation,United Kingdom,GB,13400.0,214400.0,160800.0,2600000.0,60.0,3.85,66834405.0,55908316.0,2014.0,1380400.0,113900.0
Jelly,23500000,14777034543.0,6066,Gaming,United Kingdom,GB,10400.0,166700.0,125000.0,2000000.0,60.0,3.85,66834405.0,55908316.0,2014.0,1062500.0,88550.0
Miss Katy,23500000,14696994366.0,1044,People & Blogs,United Kingdom,GB,14900.0,238500.0,178900.0,2900000.0,60.0,3.85,66834405.0,55908316.0,2014.0,1539450.0,126700.0
Tilak,23400000,9465863821.0,6672,Film & Animation,India,IN,91800.0,1500000.0,1100000.0,17600000.0,28.1,5.36,1366417754.0,471031528.0,2020.0,9350000.0,795900.0
Valentina Pontes ofc,23400000,7926899136.0,1291,Film & Animation,Brazil,BR,7100.0,113100.0,84900.0,1400000.0,51.3,12.08,212559417.0,183241641.0,2014.0,742450.0,60100.0
Sesame Street,23300000,22471357411.0,3657,Entertainment,United States,US,31000.0,496700.0,372600.0,6000000.0,88.2,14.7,328239523.0,270663028.0,2006.0,3186300.0,263850.0
Happy Lives,23200000,2634.0,1,Science & Technology,United States,US,0.0,0.0,0.0,0.0,88.2,14.7,328239523.0,270663028.0,2016.0,0.0,0.0
Lady Gaga,23200000,15751661213.0,172,People & Blogs,United States,US,35800.0,572700.0,429500.0,6900000.0,88.2,14.7,328239523.0,270663028.0,2008.0,3664750.0,304250.0
Wave Music Bhojpuri,23100000,12889240875.0,22578,Music,India,IN,13200.0,210700.0,158000.0,2500000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,1329000.0,111950.0
GMM GRAMMY OFFICIAL,23100000,25579831081.0,15462,Music,Thailand,TH,32600.0,520900.0,390700.0,6300000.0,49.3,0.75,69625582.0,35294600.0,2010.0,3345350.0,276750.0
TED,23100000,2551113422.0,4445,People & Blogs,United States,US,3300.0,53000.0,39700.0,635800.0,88.2,14.7,328239523.0,270663028.0,2006.0,337750.0,28150.0
unknown boy varun,23100000,9299371231.0,456,Music,India,IN,76000.0,1200000.0,912100.0,14600000.0,28.1,5.36,1366417754.0,471031528.0,2016.0,7756050.0,638000.0
Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846.0,3781,Shows,United States,US,32100.0,513800.0,385300.0,6200000.0,88.2,14.7,328239523.0,270663028.0,2013.0,3292650.0,272950.0
Tsuriki Show,23000000,31494513067.0,2905,Entertainment,Germany,DE,189200.0,3000000.0,2300000.0,36300000.0,70.2,3.04,83132799.0,64324835.0,2019.0,19300000.0,1594600.0
Technical Guruji,23000000,3378047383.0,5041,Science & Technology,India,IN,5600.0,89000.0,66800.0,1100000.0,28.1,5.36,1366417754.0,471031528.0,2015.0,583400.0,47300.0
DrossRotzank,23000000,6041264489.0,1598,Entertainment,Argentina,AR,8900.0,142200.0,106600.0,1700000.0,90.0,9.79,44938712.0,41339571.0,2006.0,903300.0,75550.0
White Hill Music,23000000,10939966484.0,5718,Entertainment,India,IN,23300.0,372700.0,279500.0,4500000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,2389750.0,198000.0
Ultra Movie Parlour,22900000,5320485069.0,1670,Movies,India,IN,0.0,0.0,0.0,0.0,28.1,5.36,1366417754.0,471031528.0,2011.0,0.0,0.0
Alan Becker,22900000,5380073627.0,0,Film & Animation,United States,US,0.0,0.0,0.0,0.0,88.2,14.7,328239523.0,270663028.0,2006.0,0.0,0.0
toyorbabytv,22900000,16298342829.0,1159,Music,Jordan,JO,42300.0,676200.0,507200.0,8100000.0,34.4,14.72,10101694.0,9213048.0,2012.0,4303600.0,359250.0
BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,13206471140.0,1251,Education,Mexico,MX,34200.0,547300.0,410500.0,6600000.0,40.2,3.42,126014024.0,102626859.0,2018.0,3505250.0,290750.0
Vania Mania Kids,22700000,10115316784.0,985,People & Blogs,United States,US,38800.0,620900.0,465600.0,7500000.0,88.2,14.7,328239523.0,270663028.0,2015.0,3982800.0,329850.0
Sun TV,22600000,20847038152.0,60964,People & Blogs,India,IN,245600.0,3900000.0,2900000.0,47100000.0,28.1,5.36,1366417754.0,471031528.0,2016.0,25000000.0,2072800.0
Heroindori,22600000,9223534599.0,495,Comedy,India,IN,99800.0,1600000.0,1200000.0,19200000.0,28.1,5.36,1366417754.0,471031528.0,2020.0,10200000.0,849900.0
The Chainsmokers,22600000,14231943358.0,180,Music,United States,US,20400.0,326600.0,245000.0,3900000.0,88.2,14.7,328239523.0,270663028.0,2012.0,2072500.0,173500.0
mmoshaya,22600000,17507060680.0,1189,People & Blogs,Saudi Arabia,SA,18500.0,295300.0,221500.0,3500000.0,68.0,5.93,34268528.0,28807838.0,2010.0,1860750.0,156900.0
Sia,22600000,13405849040.0,171,Music,United States,US,23800.0,381000.0,285800.0,4600000.0,88.2,14.7,328239523.0,270663028.0,2007.0,2442900.0,202400.0
LeoNata Family,22600000,27084848152.0,2321,People & Blogs,United States,US,293500.0,4700000.0,3500000.0,56300000.0,88.2,14.7,328239523.0,270663028.0,2021.0,29900000.0,2496750.0
Goldmines Cineplex,22500000,2431154438.0,3377,Film & Animation,India,IN,12200.0,195000.0,146200.0,2300000.0,28.1,5.36,1366417754.0,471031528.0,2015.0,1223100.0,103600.0
Vlad and Niki Arabic,22500000,10613701948.0,526,Entertainment,United States,US,16300.0,260300.0,195200.0,3100000.0,88.2,14.7,328239523.0,270663028.0,2018.0,1647600.0,138300.0
SSundee,22500000,13835173331.0,3315,Gaming,United States,US,43800.0,700400.0,525300.0,8400000.0,88.2,14.7,328239523.0,270663028.0,2009.0,4462650.0,372100.0
Paulo Londra,22400000,8040036209.0,58,Music,Argentina,AR,18100.0,289000.0,216700.0,3500000.0,90.0,9.79,44938712.0,41339571.0,2016.0,1858350.0,153550.0
Smile Family,22300000,8663830163.0,34,People & Blogs,France,FR,0.18,3.0,2.0,35.0,65.6,8.43,67059887.0,54123364.0,2019.0,18.5,1.59
FGTeeV,22300000,24059336857.0,1724,Gaming,United States,US,33000.0,528400.0,396300.0,6300000.0,88.2,14.7,328239523.0,270663028.0,2013.0,3348150.0,280700.0
Kinder Spielzeug Kanal (Kidibli),22200000,11136266461.0,999,Entertainment,United States,US,34800.0,557300.0,418000.0,6700000.0,88.2,14.7,328239523.0,270663028.0,2015.0,3559000.0,296050.0
Charlie Puth,22000000,9924807127.0,157,Music,United States,US,27900.0,446000.0,334500.0,5400000.0,88.2,14.7,328239523.0,270663028.0,2009.0,2867250.0,236950.0
Vlad and Niki ESP,22000000,8594440895.0,515,Entertainment,United States,US,46000.0,735500.0,551600.0,8800000.0,88.2,14.7,328239523.0,270663028.0,2018.0,4675800.0,390750.0
Sagawa /ï¿½ï¿½ï¿½,22000000,18347969186.0,6274,Entertainment,Japan,JP,177800.0,2800000.0,2100000.0,34100000.0,63.2,2.29,126226568.0,115782416.0,2021.0,18100000.0,1488900.0
Ben Azelart,21900000,4454917643.0,301,Film & Animation,United States,US,46200.0,739800.0,554800.0,8900000.0,88.2,14.7,328239523.0,270663028.0,2014.0,4727400.0,393000.0
Zach Choi ASMR,21900000,5918314128.0,946,People & Blogs,United States,US,58600.0,936900.0,702700.0,11200000.0,88.2,14.7,328239523.0,270663028.0,2014.0,5951350.0,497750.0
Topper Guild,21900000,15552070846.0,816,Comedy,United States,US,171800.0,2700000.0,2100000.0,33000000.0,88.2,14.7,328239523.0,270663028.0,2014.0,17550000.0,1435900.0
Disney Latinoamï¿½ï¿½,21900000,20657571751.0,116,Entertainment,Mexico,MX,1.0,19.0,14.0,227.0,40.2,3.42,126014024.0,102626859.0,2008.0,120.5,10.0
Stokes Twins,21800000,4469711607.0,257,People & Blogs,United States,US,49500.0,791800.0,593900.0,9500000.0,88.2,14.7,328239523.0,270663028.0,2008.0,5046950.0,420650.0
National Geographic,21800000,5614621131.0,10162,Science & Technology,United States,US,11500.0,183200.0,137400.0,2200000.0,88.2,14.7,328239523.0,270663028.0,2006.0,1168700.0,97350.0
Dua Lipa,21800000,11288359365.0,164,Music,United Kingdom,GB,32000.0,512200.0,384100.0,6100000.0,60.0,3.85,66834405.0,55908316.0,2011.0,3242050.0,272100.0
OneDirectionVEVO,21800000,12140232004.0,266,Music,United Kingdom,GB,12800.0,204500.0,153400.0,2500000.0,60.0,3.85,66834405.0,55908316.0,2010.0,1326700.0,108650.0
ZAMZAM ELECTRONICS TRADING,21700000,8507818877.0,15126,People & Blogs,United Arab Emirates,AE,399600.0,6400000.0,4800000.0,76700000.0,36.8,2.35,9770529.0,8479744.0,2020.0,40750000.0,3399800.0
